time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.0,0.0,0.0,-0.22408938,-0.22408932,3.021695e-17,6.04339e-17,-0.7283125,-0.7283124,-2.4639032,-0.78254324,-2.6275952,-0.93543184
0.0050004167,-6.2704086e-05,8.203546e-05,-0.033359647,-0.033351928,-0.02506215,0.032608945,-0.31624508,-0.2572619,-2.4965804,-0.75185055,-2.9360044,-1.1254808
0.010000833,-0.0002477169,0.00032079304,0.018606782,0.018917168,-0.049420483,0.063335,-0.24257365,-0.12720494,-2.528796,-0.72258323,-1.8371484,-0.055053353
0.01500125,-0.0005502701,0.00070537906,0.029877186,0.030768955,-0.07307581,0.09219236,0.14366081,0.3128209,-2.5605507,-0.6947698,-2.0776925,-0.30257687
0.020001667,-0.00096583366,0.0012250914,-0.039402485,-0.03766606,-0.09603134,0.11920023,-0.09812622,0.12224364,-2.5918522,-0.66843474,-2.5052648,-0.6251372
0.025002083,-0.0014897585,0.0018694417,0.17144394,0.17427273,-0.11829173,0.1443824,0.19869557,0.46771282,-2.6227055,-0.6435985,-2.843575,-0.80555725
0.0300025,-0.0021175146,0.0026281753,0.06671655,0.07086989,-0.13986354,0.16776712,0.12575361,0.44088158,-2.653119,-0.62027717,-3.0546892,-0.9816892
0.035002917,-0.002844572,0.0034912904,0.015544295,0.021239495,-0.16075478,0.18938671,0.033582255,0.39231747,-2.6830997,-0.5984823,-3.0767064,-0.95921934
0.040003333,-0.0036666393,0.0044490555,-0.04342985,-0.03599029,-0.18097535,0.20927733,-0.54638803,-0.1465102,-2.7126558,-0.5782203,-3.1815572,-1.0694089
0.04500375,-0.004579544,0.005492024,-0.09471285,-0.0853406,-0.2005366,0.22747879,-0.25536868,0.18323235,-2.7417953,-0.55949426,-2.86717,-0.63211143
0.050004166,-0.0055789948,0.0066110515,-0.13771486,-0.12623557,-0.21945071,0.24403405,-0.38359678,0.091358244,-2.7705271,-0.5423028,-2.6805172,-0.4976933
0.055004586,-0.0066611767,0.0077973045,-0.07377362,-0.060026594,-0.2377319,0.25898924,-0.46278876,0.04620643,-2.7988567,-0.5266384,-2.9778752,-0.6837055
0.060005,-0.007821798,0.009042274,-0.11896789,-0.10280565,-0.25539428,0.27239317,-0.2849005,0.2558809,-2.82679,-0.5124908,-2.5529003,-0.23451465
0.065005414,-0.009057283,0.010337784,0.035301685,0.054013997,-0.27245414,0.2842969,-0.113860846,0.4565171,-2.8543334,-0.49984393,-2.8344069,-0.5372213
0.070005834,-0.010363936,0.011676,-0.041641116,-0.020256363,-0.28892815,0.29475397,-0.4850384,0.11281435,-2.8814888,-0.48867726,-2.5512478,-0.17720908
0.075006254,-0.011738181,0.0130494395,0.21121335,0.23538145,-0.30483368,0.30381957,0.04207906,0.66535676,-2.90826,-0.47896606,-3.0205448,-0.6653683
0.08000667,-0.013176441,0.014450967,0.00460279,0.031653136,-0.32018864,0.31155056,-0.40575135,0.2409746,-2.9346476,-0.47068125,-3.1612172,-0.61115783
0.08500709,-0.014675379,0.015873808,0.059763193,0.08978424,-0.33501154,0.31800503,-0.23359588,0.4346794,-2.9606504,-0.4637893,-2.567154,-0.118413866
0.0900075,-0.016232014,0.01731155,-0.011362314,0.021707824,-0.34932193,0.3232422,-0.20175755,0.48624775,-2.9862683,-0.45825258,-3.0477374,-0.49570268
0.09500792,-0.017843008,0.018758133,0.03213954,0.06832675,-0.36313862,0.32732195,-0.1873796,0.518616,-3.0114958,-0.45402884,-2.504554,0.09422892
0.10000833,-0.0195055,0.020207865,0.010928869,0.050291955,-0.37648132,0.33030462,-0.27494,0.44738856,-3.0363288,-0.45107296,-2.734758,-0.10247487
0.10500875,-0.02121675,0.021655407,-0.09003317,-0.04744435,-0.3893699,0.3322509,-0.42386323,0.31322378,-3.060759,-0.44933537,-2.7518547,-0.16276234
0.11000917,-0.022974014,0.023095772,-0.031155944,0.014700137,-0.40182388,0.3332213,-0.37725353,0.37310076,-3.0847797,-0.44876426,-3.031036,-0.4202161
0.11500958,-0.02477467,0.024524331,-0.23056316,-0.18140619,-0.41386288,0.3332762,-0.8145353,-0.052321404,-3.10838,-0.4493038,-3.0189896,-0.4081199
0.12001,-0.026616216,0.025936794,0.022146702,0.07463075,-0.42550623,0.3324755,-0.67920285,0.09354599,-3.1315486,-0.45089564,-3.2028723,-0.5314816
0.12501042,-0.028496504,0.027329212,0.040179968,0.09601061,-0.43677357,0.33087835,-0.40495354,0.37708881,-3.1542726,-0.4534792,-3.071611,-0.3644354
0.13001083,-0.03041315,0.02869797,-0.03919208,0.019998126,-0.4476834,0.32854304,-0.46441525,0.32576066,-3.1765373,-0.45699146,-3.0020561,-0.25282776
0.13501126,-0.03236425,0.030039772,-0.25738335,-0.1948265,-0.4582547,0.32552686,-0.8079971,-0.010766953,-3.1983268,-0.46136725,-2.1688604,0.43129367
0.14001167,-0.034347773,0.03135164,-0.19965303,-0.13372798,-0.4685055,0.3218858,-0.9646981,-0.161414,-3.219624,-0.46654004,-3.0429008,-0.29691058
0.14501208,-0.036361814,0.032630898,0.10806322,0.17735316,-0.4784534,0.3176744,-0.39947373,0.40894172,-3.2404103,-0.47244254,-2.9762056,-0.22180182
0.15001251,-0.038404465,0.03387517,-0.07175934,0.0008874098,-0.48811507,0.31294602,-0.5575384,0.25516093,-3.260667,-0.4790057,-2.9907339,-0.18146813
0.15501292,-0.040474176,0.03508236,-0.08922076,-0.0132292975,-0.49750736,0.30775198,-0.69643074,0.11977859,-3.2803726,-0.48616022,-2.839845,-0.15474814
0.16001333,-0.0425694,0.03625064,0.10524666,0.18456686,-0.50664616,0.3021421,-0.46302783,0.3559881,-3.299505,-0.49383602,-2.7419357,0.059572577
0.16501375,-0.0446887,0.037378453,-0.12931585,-0.04668621,-0.5155466,0.29616442,-0.59965223,0.22153579,-3.3180416,-0.5019631,-3.621087,-0.7516697
0.17001417,-0.046830654,0.038464487,-0.12623703,-0.04032001,-0.5242233,0.28986496,-0.64117086,0.18162084,-3.3359594,-0.5104718,-3.7435403,-0.8292997
0.17501459,-0.048993945,0.039507665,-0.060747027,0.028432291,-0.5326901,0.28328782,-0.54103273,0.28285637,-3.3532336,-0.51929235,-3.3211036,-0.50164425
0.180015,-0.051177144,0.040507145,-0.082044244,0.010370357,-0.54095954,0.27647516,-0.73013437,0.09440696,-3.369839,-0.5283563,-3.000196,-0.15432054
0.18501543,-0.053379416,0.041462284,0.04369223,0.139313,-0.54904467,0.2694671,-0.241561,0.5832443,-3.3857498,-0.537595,-3.5480201,-0.674786
0.19001584,-0.05559969,0.042372648,-0.049932837,0.04886345,-0.55695724,0.26230162,-0.47190315,0.35283267,-3.4009397,-0.54694146,-3.8984609,-1.084907
0.19501625,-0.05783665,0.043237988,-0.0032885075,0.098651096,-0.5647074,0.25501478,-0.41802505,0.40635854,-3.4153824,-0.55633074,-3.4117203,-0.49030632
0.20001666,-0.06008947,0.044058237,-0.017058492,0.08799106,-0.57230556,0.2476404,-0.6192593,0.20453766,-3.4290493,-0.56569785,-3.2563019,-0.43748966
0.20501709,-0.062357426,0.04483349,-0.054368854,0.053756602,-0.5797615,0.24021043,-0.46849513,0.35452634,-3.4419146,-0.5749804,-3.681806,-0.7562871
0.2100175,-0.06463957,0.04556399,0.092730165,0.20389716,-0.5870837,0.23275457,-0.09883851,0.7232616,-3.4539504,-0.58411753,-2.712199,0.13020223
0.21501791,-0.06693518,0.04625012,-0.24061167,-0.12643847,-0.59428024,0.22530064,-0.91149217,-0.09042123,-3.4651284,-0.5930501,-3.4093997,-0.48842418
0.22001834,-0.06924343,0.04689241,-0.10880554,0.00833888,-0.6013583,0.21787453,-0.8673532,-0.047381677,-3.475421,-0.60172087,-3.374595,-0.50748616
0.22501875,-0.0715636,0.047491476,-0.22280431,-0.10272395,-0.6083244,0.21049997,-0.85614854,-0.037313923,-3.4848006,-0.6100752,-3.3313549,-0.44634172
0.23001917,-0.0738951,0.04804807,-0.20309639,-0.080115244,-0.61518466,0.20319906,-0.52190983,0.29578102,-3.4932404,-0.61806035,-3.5228634,-0.6365825
0.23501958,-0.0762372,0.048563033,-0.1373446,-0.011497419,-0.6219441,0.19599187,-0.7483213,0.06824715,-3.5007129,-0.6256263,-3.860887,-0.9565986
0.24002,-0.07858944,0.049037293,-0.19131815,-0.06263913,-0.62860787,0.18889676,-0.56409305,0.25139967,-3.5071917,-0.63272464,-3.3189125,-0.45413032
0.24502042,-0.080951214,0.049471848,-0.12427819,0.007199021,-0.6351799,0.18193038,-0.6916424,0.122843966,-3.512651,-0.6393101,-3.2462692,-0.4169546
0.25002083,-0.08332193,0.049867775,-0.10655677,0.027685467,-0.6416636,0.17510766,-0.47993124,0.33363783,-3.5170643,-0.6453395,-3.0282767,-0.2395764
0.25502124,-0.08570111,0.050226208,-0.1256038,0.011371326,-0.6480621,0.16844201,-0.76410073,0.048658513,-3.5204067,-0.65077215,-3.3589487,-0.5009477
0.26002166,-0.088088155,0.05054833,-0.25461102,-0.11493451,-0.6543778,0.16194522,-0.9816363,-0.16956441,-3.522654,-0.65557,-3.3164258,-0.47235024
0.2650221,-0.09048283,0.05083538,-0.2259084,-0.08356081,-0.660613,0.15562783,-0.9205273,-0.109006524,-3.5237832,-0.65969753,-3.6522555,-0.74115133
0.2700225,-0.0928843,0.0510886,0.13974214,0.28473103,-0.6667688,0.14949867,-0.25170994,0.5594064,-3.5237722,-0.66312224,-3.0524578,-0.21177858
0.27502292,-0.09529245,0.0513093,-0.1045177,0.043084327,-0.67284673,0.14356557,-0.6267036,0.18416536,-3.522598,-0.66581327,-3.5240154,-0.69599336
0.28002334,-0.097706676,0.05149879,-0.1364516,0.013736222,-0.67884743,0.13783494,-0.61814404,0.19264165,-3.5202425,-0.6677435,-4.0180087,-1.1322143
0.28502375,-0.100126505,0.051658403,0.061519384,0.21426666,-0.6847712,0.13231224,-0.3588022,0.4520697,-3.516684,-0.66888684,-2.8764696,-0.057623684
0.29002416,-0.10255158,0.05178948,-0.21019065,-0.054909203,-0.69061816,0.12700164,-0.69188833,0.11924332,-3.5119057,-0.6692205,-4.3484592,-1.4638667
0.29502457,-0.10498142,0.05189337,-0.17242849,-0.0146369375,-0.696388,0.12190652,-0.729622,0.08194583,-3.505891,-0.6687248,-3.5804343,-0.6971399
0.30002502,-0.10741544,0.051971428,-0.06832075,0.09195797,-0.7020798,0.117029145,-0.38647014,0.42571154,-3.4986238,-0.6673813,-3.5763757,-0.7737948
0.30502543,-0.109853506,0.05202499,0.115219116,0.27796334,-0.70769346,0.11237097,-0.34508073,0.46789262,-3.4900913,-0.66517496,-3.5095701,-0.60195017
0.31002584,-0.11229515,0.052055392,-0.18376374,-0.018574867,-0.71322775,0.107932754,-0.58554345,0.22839776,-3.4802809,-0.66209257,-3.9916844,-1.1783087
0.31502625,-0.11473954,0.052063957,0.0424881,0.210102,-0.7186806,0.103714526,-0.33964178,0.47544143,-3.469181,-0.6581233,-3.1237833,-0.32197416
0.32002667,-0.117186666,0.052052002,-0.11880088,0.05121958,-0.72405165,0.09971561,-0.5926283,0.22376803,-3.4567826,-0.65325826,-3.040839,-0.32400388
0.32502708,-0.11963606,0.05202082,0.015026569,0.1874361,-0.7293391,0.095934846,-0.53487533,0.2830012,-3.4430785,-0.64749146,-3.2862422,-0.5334487
0.3300275,-0.122087,0.05197168,-0.03168857,0.14309335,-0.7345408,0.092370525,-0.5683775,0.25114104,-3.4280615,-0.6408186,-3.6595726,-0.8793828
0.33502793,-0.124539375,0.051905848,-0.12142539,0.05571342,-0.73965544,0.089020595,-0.48376453,0.3375531,-3.4117281,-0.633237,-3.3145485,-0.5157944
0.34002835,-0.12699246,0.051824525,-0.1288042,0.050676983,-0.74468076,0.085882366,-0.7503363,0.07293155,-3.3940759,-0.62474716,-3.5651534,-0.78245914
0.34502876,-0.12944603,0.05172892,-0.2286849,-0.046875045,-0.7496152,0.082953125,-0.9565252,-0.13116255,-3.3751035,-0.61535007,-3.378048,-0.5972204
0.35002917,-0.13189948,0.051620208,-0.34482563,-0.16069996,-0.7544565,0.080229744,-1.2452564,-0.41766107,-3.354813,-0.6050505,-2.8680108,-0.2600683
0.35502958,-0.13435233,0.051499534,-0.09023011,0.09619939,-0.75920266,0.07770888,-0.4286467,0.40131247,-3.3332057,-0.59385276,-3.3980422,-0.6610545
0.36003,-0.1368041,0.05136802,-0.16724598,0.021475933,-0.7638516,0.075387165,-0.62340665,0.20903982,-3.3102868,-0.5817645,-3.1919205,-0.42855975
0.3650304,-0.13925445,0.051226757,0.04058647,0.23159046,-0.7684015,0.07326095,-0.61212957,0.22292092,-3.2860637,-0.56879526,-3.210546,-0.4447357
0.37003085,-0.14170277,0.051076822,-0.18852592,0.004750453,-0.77285016,0.07132669,-1.0106568,-0.17289267,-3.2605433,-0.55495435,-3.3085165,-0.46105352
0.37503126,-0.14414859,0.050919212,-0.16279554,0.032743875,-0.7771957,0.06958057,-0.6914899,0.14908934,-3.233737,-0.54025453,-3.485382,-0.84065604
0.38003168,-0.14659142,0.050754942,-0.24297035,-0.04517638,-0.7814362,0.06801908,-0.97081316,-0.12732397,-3.2056563,-0.5247092,-3.8530943,-1.0988145
0.3850321,-0.14903069,0.050584998,-0.1227268,0.0773135,-0.7855696,0.06663867,-0.7927196,0.053766668,-3.176315,-0.5083331,-2.7135513,-0.0659039
0.3900325,-0.15146601,0.050410327,-0.0979799,0.10429935,-0.7895945,0.06543579,-0.74274945,0.10681492,-3.1457286,-0.4911428,-3.2866004,-0.61783
0.3950329,-0.15389693,0.050231837,-0.17803752,0.02647373,-0.7935091,0.064407155,-1.0574064,-0.20468974,-3.1139143,-0.4731546,-3.329454,-0.55169237
0.40003332,-0.15632284,0.050050445,-0.2390405,-0.032303907,-0.7973118,0.06354956,-0.89391017,-0.037973836,-3.0808916,-0.45438826,-3.2061386,-0.62035936
0.40503377,-0.15874326,0.049867023,-0.12780952,0.08114617,-0.801001,0.06285999,-0.68392986,0.17528768,-3.0466802,-0.4348627,-2.945867,-0.35714483
0.41003418,-0.16115773,0.049682394,-0.23336244,-0.022193283,-0.80457544,0.06233555,-1.162678,-0.30012318,-3.0113049,-0.41459996,-3.1491528,-0.5356449
0.4150346,-0.16356552,0.049497407,-0.1275481,0.085828915,-0.80803347,0.061973743,-0.8254574,0.040485084,-2.9747891,-0.39362106,-3.1480665,-0.534045
0.420035,-0.16596627,0.049312856,-0.33318603,-0.117606334,-0.81137407,0.06177225,-1.1762702,-0.30689448,-2.9371576,-0.37194878,-2.484559,0.09344357
