time,e1,e2,r1,r2,tau1,tau2
0.0,0.0,0.0,3.021695e-17,6.04339e-17,-2.4639032,-0.78254324
0.0050004167,7.748604e-06,1.5505671e-05,-0.025375204,0.033631332,-2.5460787,-0.7038506
0.010000833,-0.000111579895,0.00019878245,-0.048990317,0.06252316,-2.6453202,-0.64107114
0.01500125,-0.00034594536,0.00052193785,-0.070907556,0.08694,-2.7566419,-0.59230244
0.020001667,-0.0006841421,0.0009590994,-0.091208726,0.10716974,-2.872561,-0.5549865
0.025002083,-0.0011153221,0.0014864809,-0.110004485,0.12354058,-2.9858425,-0.52645636
0.0300025,-0.0016297102,0.0020825318,-0.12743291,0.13641046,-3.0915284,-0.50450385
0.035002917,-0.0022183657,0.0027280296,-0.14364453,0.1461445,-3.1876497,-0.48771167
0.040003333,-0.0028733015,0.0034060585,-0.1587885,0.1530939,-3.2747412,-0.47543895
0.04500375,-0.0035877228,0.0041018818,-0.17300406,0.15758328,-3.3547652,-0.46755463
0.050004166,-0.0043553114,0.004802753,-0.18641247,0.15990606,-3.4300163,-0.46409136
0.055004586,-0.005170822,0.0054977136,-0.19911979,0.16032428,-3.5024014,-0.46497464
0.060005,-0.0060293674,0.006177387,-0.2112148,0.1590695,-3.5731456,-0.4699022
0.065005414,-0.0069270134,0.00683379,-0.22277403,0.1563437,-3.6428363,-0.47835088
0.070005834,-0.007859945,0.007460148,-0.2338593,0.1523194,-3.7116022,-0.48966292
0.075006254,-0.008825064,0.008050721,-0.2445226,0.1471412,-3.7793279,-0.50314605
0.08000667,-0.009819269,0.008600631,-0.25480402,0.14092748,-3.8458061,-0.5181582
0.08500709,-0.010839939,0.009105718,-0.26473594,0.13377395,-3.910831,-0.5341581
0.0900075,-0.011884928,0.009562403,-0.2743451,0.12575766,-3.974252,-0.5507276
0.09500792,-0.012951851,0.00996758,-0.28365067,0.11694146,-4.0359745,-0.567573
0.10000833,-0.014038563,0.010318538,-0.2926686,0.10737843,-4.095973,-0.58451307
0.10500875,-0.015143275,0.010612898,-0.30141383,0.097115904,-4.154279,-0.6014581
0.11000917,-0.016264081,0.010848576,-0.3098989,0.08619839,-4.210973,-0.61839104
0.11500958,-0.017399311,0.011023764,-0.31813687,0.07467024,-4.266174,-0.6353453
0.12001,-0.018547297,0.011136919,-0.3261407,0.06257723,-4.320032,-0.6523873
0.12501042,-0.019706607,0.011186768,-0.33392465,0.049967445,-4.372725,-0.6696027
0.13001083,-0.020875812,0.01117231,-0.3415032,0.036891747,-4.4244447,-0.687084
0.13501126,-0.022053719,0.011092823,-0.34889236,0.02340382,-4.475404,-0.704925
0.14001167,-0.023239136,0.010947868,-0.35610807,0.009559557,-4.5258245,-0.7232152
0.14501208,-0.02443111,0.010737302,-0.36316723,-0.0045831874,-4.5759373,-0.7420352
0.15001251,-0.025628567,0.010461273,-0.37008572,-0.018965296,-4.6259785,-0.7614579
0.15501292,-0.026830673,0.010120215,-0.37687972,-0.033527113,-4.676191,-0.78154594
0.16001333,-0.028036594,0.009714859,-0.38356453,-0.048209153,-4.7268147,-0.80235153
0.16501375,-0.029245853,0.00924621,-0.39015585,-0.0629525,-4.778096,-0.8239195
0.17001417,-0.030457854,0.008715546,-0.39666727,-0.07769978,-4.8302765,-0.84628606
0.17501459,-0.03167212,0.00812439,-0.40311134,-0.0923955,-4.883591,-0.8694811
0.180015,-0.032888174,0.0074745174,-0.4094988,-0.106986254,-4.9244366,-0.8882748
0.18501543,-0.034105897,0.006767921,-0.41587356,-0.12140725,-4.9780674,-0.9154265
0.19001584,-0.03532505,0.006006863,-0.42228144,-0.13546005,-5.022237,-0.93874025
0.19501625,-0.036545753,0.005194545,-0.42874846,-0.14910671,-5.077232,-0.9684883
0.20001666,-0.037768245,0.004334282,-0.4353035,-0.16220176,-5.1250067,-0.9947518
0.20501709,-0.038993,0.0034300294,-0.44195852,-0.17473237,-5.181828,-1.0258188
0.2100175,-0.04022038,0.0024857074,-0.44872743,-0.18659796,-5.2330465,-1.0536693
0.21501791,-0.041451097,0.0015056413,-0.4556117,-0.19780509,-5.291686,-1.0849764
0.22001834,-0.04268539,0.0004940219,-0.46261314,-0.20828891,-5.3458333,-1.1132798
0.22501875,-0.043923855,-0.0005447548,-0.4697249,-0.21806978,-5.4059114,-1.143936
0.23001917,-0.04516685,-0.0016064867,-0.4769412,-0.2271108,-5.4622097,-1.1717587
0.23501958,-0.046414852,-0.0026869103,-0.4842499,-0.23544115,-5.5230746,-1.2010316
0.24002,-0.04766822,-0.0037819967,-0.49163997,-0.24304524,-5.5805655,-1.2276044
