time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.0,0.0,0.0,-0.22408938,-0.22408932,3.021695e-17,6.04339e-17,-0.7283125,-0.7283124,-2.4639032,-0.78254324,-2.6275952,-0.93543184
0.0050004167,7.748604e-06,1.5505671e-05,0.14544427,0.14545208,-0.02539845,0.03358482,0.25627497,0.32572234,-2.4967961,-0.75110525,-2.3982248,-0.6972224
0.010000833,-0.00026583672,0.0003761836,-0.07801485,-0.07737286,-0.050402,0.06562998,0.028718263,0.17566366,-2.5462656,-0.7250135,-2.247392,-0.38028982
0.01500125,-0.0008250475,0.0010956882,-0.0060195923,-0.0040988512,-0.0749052,0.09598613,-0.20144609,-0.0023589246,-2.60903,-0.7034846,-2.1706944,-0.3106389
0.020001667,-0.0016303062,0.0020631626,-0.12387478,-0.120181344,-0.09873029,0.124276996,-0.38135445,-0.12922718,-2.67913,-0.685209,-3.2121296,-1.2282917
0.025002083,-0.0026737452,0.003267288,-0.19368029,-0.18773921,-0.12180995,0.15041287,-0.47272444,-0.16361918,-2.7499857,-0.66844004,-3.0531454,-0.96422863
0.0300025,-0.0039536953,0.004705464,-0.07159698,-0.06293787,-0.14412177,0.17436916,-0.3721823,-0.028532937,-2.816091,-0.651665,-2.8514633,-0.72215563
0.035002917,-0.0054324865,0.006278912,0.10256076,0.114272065,-0.16559641,0.19596407,0.21521407,0.6047632,-2.8740642,-0.6341305,-2.397799,-0.2740238
0.040003333,-0.007116914,0.008014953,-0.00886488,0.0062670363,-0.18628451,0.21532808,-0.14386553,0.28523082,-2.9230416,-0.6155807,-1.9538285,0.24236089
0.04500375,-0.0089895725,0.00987697,0.014948368,0.03381489,-0.20618863,0.23246002,-0.32924667,0.13147119,-2.9638925,-0.59644175,-2.5604315,-0.2585108
0.050004166,-0.011033297,0.011821024,-0.05918145,-0.036327124,-0.22531651,0.24735935,-0.09259519,0.38544393,-2.9983885,-0.57744694,-2.2440083,0.0045628548
0.055004586,-0.013223648,0.013780117,0.15437675,0.1813805,-0.24366367,0.25999406,-0.086473584,0.43419027,-3.028442,-0.5594145,-2.570471,-0.1976518
0.060005,-0.01558423,0.015838351,-0.02442646,0.0069961427,-0.2613273,0.2706573,-0.23188432,0.29291648,-3.0558267,-0.54283774,-2.5758572,-0.24627647
0.065005414,-0.018061519,0.017838446,-0.14824617,-0.11234617,-0.2782325,0.27912343,-0.4501366,0.12334961,-3.0815659,-0.52837527,-3.038457,-0.60896075
0.070005834,-0.020704985,0.019937642,-0.12847936,-0.08783674,-0.29453242,0.285856,-0.34868884,0.2540685,-3.1065855,-0.51602316,-2.6032734,-0.13285953
0.075006254,-0.023483396,0.022053052,0.09490466,0.1404411,-0.31019065,0.2907721,0.3239332,0.9213854,-3.1311774,-0.50598514,-3.3751721,-0.90211636
0.08000667,-0.026347756,0.024045546,0.025771141,0.07616448,-0.32514656,0.29370585,0.058168095,0.65509635,-3.144545,-0.4945761,-2.8184228,-0.35342842
0.08500709,-0.02929902,0.025925312,0.12776327,0.18298765,-0.33949095,0.2948645,0.011863112,0.6079165,-3.1662424,-0.48891336,-2.2854452,0.16045338
0.0900075,-0.03233242,0.027684217,-0.11758757,-0.05757097,-0.3532489,0.29438034,-0.4288677,0.18262403,-3.1777558,-0.48159692,-2.8728347,-0.3972268
0.09500792,-0.03546357,0.029377595,-0.093685985,-0.028844863,-0.36652458,0.29251578,-0.16074839,0.44807607,-3.1989594,-0.48020673,-1.6512525,0.812008
0.10000833,-0.038665652,0.030931946,-0.05809498,0.0115026515,-0.37928358,0.28924033,-0.53774863,0.06302124,-3.2089539,-0.47612968,-2.3163068,0.13192761
0.10500875,-0.041927934,0.032322668,-0.28317332,-0.20892271,-0.39156958,0.28463143,-0.72212017,-0.10087007,-3.228932,-0.4779723,-2.3805816,0.10333091
0.11000917,-0.04528272,0.033653222,-0.10059595,-0.021659985,-0.40347588,0.27903712,-0.49640775,0.1166102,-3.2368274,-0.47598866,-3.492198,-1.0233908
0.11500958,-0.04868996,0.034812633,-0.17883277,-0.09533017,-0.41496432,0.27229908,-0.79627395,-0.19114494,-3.2547126,-0.47964814,-2.710129,-0.2574025
0.12001,-0.05214703,0.0357997,-0.09229696,-0.004350205,-0.42605418,0.26454517,-0.6698329,-0.09251373,-3.2597518,-0.47884744,-2.398737,0.0038687587
0.12501042,-0.055626392,0.036538005,-0.028866887,0.06329748,-0.43674177,0.2557052,-0.26280147,0.3187325,-3.2616029,-0.47790858,-2.6574051,-0.25983146
0.13001083,-0.059165955,0.037146658,-0.02278006,0.07353254,-0.4471538,0.24614725,-0.23606162,0.34754854,-3.2743628,-0.48264408,-2.104933,0.3121381
0.13501126,-0.06276035,0.037616838,-0.04108715,0.059289984,-0.45729128,0.2359558,-0.25644904,0.32132053,-3.2742758,-0.48235247,-2.3204575,0.087548584
0.14001167,-0.06639707,0.037918653,0.08430278,0.1886185,-0.467166,0.2251167,-0.24367458,0.3069775,-3.2713182,-0.48158497,-2.1095743,0.23237547
0.14501208,-0.07004726,0.037972655,-0.20680702,-0.09878708,-0.47675228,0.21355441,-0.8840013,-0.3313111,-3.2662797,-0.48085368,-2.3161979,0.031060353
0.15001251,-0.073746085,0.037888855,-0.08353567,0.028099239,-0.48616534,0.20160793,-0.41990757,0.13703978,-3.2713606,-0.48524368,-2.465261,-0.119914606
0.15501292,-0.0774945,0.037676625,0.20596099,0.3211321,-0.49541807,0.18939127,-0.22457814,0.31372857,-3.2642832,-0.48450822,-2.4616075,-0.13062891
0.16001333,-0.0812614,0.037251808,-0.077751875,0.040761326,-0.5044765,0.17676249,-0.6677666,-0.12983415,-3.2547615,-0.48327303,-2.5258486,-0.26461986
0.16501375,-0.08506894,0.036684785,-0.1437949,-0.022041153,-0.5134194,0.16395295,-0.5339387,-0.011332266,-3.243382,-0.4816952,-1.7880826,0.45431346
