time,e1,e2,r1,r2,tau1,tau2
0.0,0.0,0.0,3.021695e-17,6.04339e-17,-2.4639032,-0.78254324
0.0050004167,7.748604e-06,1.5505671e-05,-0.025375204,0.033631332,-2.5460787,-0.7038506
0.010000833,-0.000111579895,0.00019878245,-0.048990317,0.06252316,-2.6249764,-0.6361171
0.01500125,-0.00034594536,0.00052193785,-0.071011916,0.08709919,-2.7010834,-0.57855594
0.020001667,-0.00068461895,0.0009598953,-0.09159613,0.107756756,-2.77487,-0.530434
0.025002083,-0.0011177063,0.001490192,-0.11088716,0.12486809,-2.8467698,-0.49106333
0.0300025,-0.0016365051,0.0020927875,-0.12901996,0.13878128,-2.9171767,-0.4597935
0.035002917,-0.0022329092,0.002749883,-0.14611807,0.1498214,-2.9864397,-0.43600652
0.040003333,-0.002899766,0.0034457503,-0.16229635,0.15829167,-3.0548654,-0.41911197
0.04500375,-0.0036309958,0.00416657,-0.17766216,0.16447397,-3.1227217,-0.40854385
0.050004166,-0.0044207573,0.0049002776,-0.19231182,0.16862959,-3.1902633,-0.40376875
0.055004586,-0.005264163,0.005636418,-0.20633486,0.17099997,-3.2576494,-0.40425923
0.060005,-0.0061564445,0.006366002,-0.21981062,0.17180756,-3.3250818,-0.40953374
0.065005414,-0.0070939064,0.007081379,-0.23281342,0.17125618,-3.3926477,-0.4191085
0.070005834,-0.008072853,0.007776111,-0.24540798,0.16953231,-3.4605136,-0.43255568
0.075006254,-0.009090424,0.008444849,-0.257654,0.1668052,-3.5287042,-0.44943798
0.08000667,-0.010143638,0.009083226,-0.2696023,0.1632284,-3.597364,-0.46938497
0.08500709,-0.01123023,0.009687753,-0.281299,0.15893993,-3.6664653,-0.49200842
0.0900075,-0.012348294,0.010255716,-0.2927852,0.154064,-3.7361438,-0.51699436
0.09500792,-0.013495803,0.010785093,-0.30409414,0.1487109,-3.8063283,-0.5440049
0.10000833,-0.0146712065,0.01127446,-0.3152558,0.14297926,-3.8771431,-0.5727803
0.10500875,-0.015872955,0.011722926,-0.326294,0.1369554,-3.9484863,-0.6030314
0.11000917,-0.017099857,0.012130051,-0.33722985,0.13071601,-4.020471,-0.63454616
0.11500958,-0.01835084,0.012495789,-0.34807992,0.12432723,-4.092972,-0.6670809
0.12001,-0.01962471,0.012820429,-0.35885662,0.11784736,-4.16598,-0.7004429
0.12501042,-0.020920753,0.013104541,-0.36957115,0.111326784,-4.2395797,-0.73447657
0.13001083,-0.022237897,0.013348935,-0.380229,0.10480764,-4.3136296,-0.769002
0.13501126,-0.023575425,0.013554612,-0.3908353,0.09832686,-4.3881025,-0.80387807
0.14001167,-0.024932623,0.013722728,-0.4013927,0.09191554,-4.462964,-0.8389783
0.14501208,-0.026308656,0.013854569,-0.41190112,0.08559954,-4.538253,-0.8742008
0.15001251,-0.027702808,0.013951522,-0.42235845,0.07939936,-4.6138153,-0.90942514
0.15501292,-0.029114366,0.014015032,-0.43276194,0.073332496,-4.689594,-0.9445582
0.16001333,-0.030542612,0.014046604,-0.44310737,0.06741305,-4.765524,-0.97951406
0.16501375,-0.03198695,0.014047771,-0.45339,0.061652042,-4.841536,-1.0142148
0.17001417,-0.03344667,0.014020091,-0.46360362,0.056057736,-4.9175496,-1.0485872
0.17501459,-0.03492093,0.013965109,-0.47374073,0.050636083,-4.993478,-1.0825632
0.180015,-0.0364089,0.013884377,-0.4837933,0.045391098,-5.0692253,-1.1160783
0.18501543,-0.037910104,0.01377942,-0.49375466,0.040325135,-5.1447673,-1.1490769
0.19001584,-0.039423585,0.013651736,-0.5036149,0.035437725,-5.2199044,-1.1814913
0.19501625,-0.04094851,0.013502785,-0.51336527,0.030728623,-5.2945232,-1.2132635
0.20001666,-0.042483926,0.013333992,-0.5229964,0.026196443,-5.3685045,-1.2443393
0.20501709,-0.044029236,0.0131467385,-0.5325007,0.021839045,-5.4417257,-1.274663
0.2100175,-0.045583487,0.012942356,-0.54186887,0.017653346,-5.51406,-1.304182
0.21501791,-0.047145724,0.012722131,-0.5510919,0.01363574,-5.585372,-1.3328435
0.22001834,-0.048714995,0.012487303,-0.560161,0.009782311,-5.6556044,-1.3606038
0.22501875,-0.050290465,0.01223905,-0.56906766,0.006087359,-5.7245216,-1.387398
0.23001917,-0.05187106,0.011978507,-0.57780313,0.00254637,-5.7919836,-1.4131752
0.23501958,-0.05345571,0.011706745,-0.586359,-0.0008454919,-5.857843,-1.4378835
0.24002,-0.055043697,0.011424797,-0.5947294,-0.0040931776,-5.921959,-1.4614719
0.24502042,-0.05663383,0.011133628,-0.6029061,-0.007201828,-5.984185,-1.4838904
