time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.0,0.0,0.0,-0.22408938,-0.22408932,3.021695e-17,6.04339e-17,-0.7283125,-0.7283124,-2.4639032,-0.78254324,-2.6275952,-0.93543184
0.0050004167,7.748604e-06,1.5505671e-05,-0.033359647,-0.033351928,-0.02539845,0.03358482,-0.31624508,-0.2572619,-2.4967961,-0.75110525,-2.9360044,-1.1254808
0.010000833,-0.000111579895,0.00019878245,0.018606782,0.018917168,-0.050093487,0.06527518,-0.24257365,-0.12720494,-2.5292075,-0.72105336,-1.8371484,-0.055053353
0.01500125,-0.00035309792,0.0005386797,0.029877186,0.030768955,-0.0740827,0.09507742,0.14366081,0.3128209,-2.5611382,-0.69242483,-2.0776925,-0.3025768
0.020001667,-0.0007122755,0.00102419,-0.039402485,-0.03766606,-0.09736657,0.12300337,-0.09812622,0.12224364,-2.5925937,-0.66525215,-2.5052645,-0.6251371
0.025002083,-0.0011842251,0.0016444752,0.17144394,0.17427273,-0.119946845,0.14907022,0.19869557,0.46771282,-2.6235783,-0.6395636,-2.8435748,-0.805557
0.0300025,-0.0017644167,0.0023888915,0.06671655,0.07086989,-0.1418279,0.17330001,0.12575361,0.44088158,-2.6540985,-0.6153824,-3.0546887,-0.98168886
0.035002917,-0.0024482012,0.0032470115,0.015544295,0.021239495,-0.16301563,0.1957196,0.033582255,0.39231744,-2.6841621,-0.59272754,-3.076706,-0.95921886
0.040003333,-0.0032309294,0.0042086467,-0.04342985,-0.03599029,-0.18351758,0.21636026,-0.54638803,-0.14651023,-2.7137773,-0.57161355,-3.1815562,-1.0694084
0.04500375,-0.004108429,0.0052638664,-0.09471285,-0.0853406,-0.20334367,0.23525736,-0.25536865,0.18323229,-2.7429526,-0.5520499,-2.8671694,-0.6321109
0.050004166,-0.005076289,0.006403017,-0.13771486,-0.12623557,-0.22250481,0.2524502,-0.38359678,0.091358185,-2.7716963,-0.5340409,-2.6805165,-0.49769264
0.055004586,-0.0061303377,0.0076167365,-0.07377362,-0.060026594,-0.24101356,0.26798165,-0.46278876,0.04620634,-2.800016,-0.5175866,-2.9778748,-0.6837049
0.060005,-0.007266283,0.008895972,-0.11896789,-0.10280565,-0.2588834,0.2818979,-0.2849005,0.25588077,-2.8279178,-0.5026822,-2.5528996,-0.23451418
0.065005414,-0.00848031,0.010231991,0.035301685,0.054013994,-0.27612972,0.2942481,-0.113860846,0.45651698,-2.8554094,-0.48931786,-2.8344064,-0.53722095
0.070005834,-0.009768367,0.011616397,-0.041641116,-0.020256367,-0.2927683,0.30508432,-0.4850384,0.112814195,-2.8824952,-0.47747824,-2.5512478,-0.17720896
0.075006254,-0.011126876,0.013041134,0.21121335,0.23538144,-0.30881667,0.31446072,0.04207906,0.66535664,-2.9091797,-0.46714333,-3.0205448,-0.6653685
0.08000667,-0.012551904,0.014498498,0.00460279,0.031653132,-0.32429215,0.3224338,-0.40575135,0.24097449,-2.9354649,-0.4582885,-3.1612172,-0.6111584
